comment_num,content,crawled_at,created_at,id,image_url,like_num,location,origin_weibo,repost_num,tool,user_id,video_url,weibo_url
0,养猫的兔子7549转发了姆们说的微博:世界卫生组织WHO官方回复：【目前没有证据表明狗猫能传染冠状病毒】希望大家不要恐慌，不要因为谣言而让小动物们遭到遗弃！管理好自家的宠物，不要散养，文明养护！#宠物接触到疫情也需隔离#媛小媛嘛的微博视频,2020-02-09 01:01,01月30日 23:59,3606750960_IrW92iOJe,,1,,https://weibo.cn/comment/IrVtn5Co7?rl=1#cmtfrm,0,iPhone客户端,3606750960,,https://weibo.com/3606750960/IrW92iOJe
0,亨利卡维尔深圳分维尔:我们开放边境迎接猪瘟，俄罗斯关闭边境阻止冠状病毒，fairenough,2020-02-09 01:01,01月30日 23:59,1323160260_IrW91qr2P,,3,,,1,HUAWEI Mate 20 Pro,1323160260,,https://weibo.com/1323160260/IrW91qr2P
0,百鬼夜行猫1169转发了领养小铺的微博:分享图片,2020-02-09 01:01,01月30日 23:59,2904412173_IrW8ZF3jf,http://wx3.sinaimg.cn/wap180/6dcb8e97ly1gbdvcqaidyj21hc0u0n4s.jpg,0,,https://weibo.cn/comment/IrMFT9gev?rl=1#cmtfrm,0,华为手机 畅享玩不停,2904412173,,https://weibo.com/2904412173/IrW8ZF3jf
0,ZXH爱生活:#双黄连可抑制新型冠状病毒#口罩抢不到，酒精抢不到，消毒液抢不到，连双黄连口服液都抢不到我好难,2020-02-09 01:01,01月31日 23:59,1843027315_Is5zxt5Az,,0,,,0,荣耀20 PRO,1843027315,,https://weibo.com/1843027315/Is5zxt5Az
0,我滴妈呀741转发了头条教育的微博:【“冠状病毒”是什么？武汉新型肺炎病毒是如何使人生病的？】20世纪初，人们发现了一种比细菌还要小的病原体：病毒。病毒由蛋白质外壳和遗传物质组成，必须寄生在细胞里才能表现出生命特征。病毒可以一次次欺骗细胞，最终将自己的遗传物质送到寄主细胞核里。病毒可以在细胞中潜伏很久，在某个时刻突然爆发，寄主就会死亡。人们已经发现了七种冠状病毒，其中有三种可以引起严重疾病，即SARS、MERS和新型冠状病毒，它们都会引起免疫系统的强烈反应，产生细胞因子风暴，大量的白细胞和组织液充斥肺部，造成呼吸困难和死亡。免疫反应既不能太弱，也不能太强，平衡的免疫力才是最好的免疫力。面对病毒，人们的反应与免疫系统一样，毫不在意或者过分恐慌都是不对的，平静的等一段时间，疫情一定会被消灭。#新型冠状病毒##武汉加油##停课不停学##教育在行动##延假期不停学#http://t.cn/A6PiaqjO,2020-02-09 01:02,01月30日 23:59,2707871234_IrW8ZDAKX,,0,,https://weibo.cn/comment/IrKEWz0za?rl=1#cmtfrm,0,荣耀V9 我想要的快,2707871234,,https://weibo.com/2707871234/IrW8ZDAKX
4,LY_不喝奶茶:#双黄连可抑制新型冠状病毒#不知道一觉醒来双黄连会断货吗,2020-02-09 01:02,01月31日 23:59,5728716712_Is5zxt5mc,,0,,,0,,5728716712,,https://weibo.com/5728716712/Is5zxt5mc
0,heyoctoberzzz转发了百度的微博:百度免费开放LinearFold算法，可将#新型冠状病毒RNA分析从55分钟缩短至27秒#！今天，百度研究院宣布，将向各基因检测机构、防疫中心及全世界科学研究中心免费开放线性时间算法LinearFold以及世界上现有最快的RNA结构预测网站，以提升新型冠状病毒RNA空间结构预测速度，助力疫情防控！如有需RNA结构预测算法和技术支持的科研单位、防疫部门等，可联系百度研究院该项目专用邮箱RNA@baidu.com。抗击疫情，众志成城，我们在行动！,2020-02-09 01:02,01月30日 23:59,5241390269_IrW8Zl2bX,http://wx2.sinaimg.cn/wap180/968408a0ly1gbedkhh8buj20jm05g76d.jpg,0,,https://weibo.cn/comment/IrQRukyuN?rl=1#cmtfrm,0,百度贴吧超话,5241390269,,https://weibo.com/5241390269/IrW8Zl2bX
0,这个名字很江转发了医学知识总览的微博:#新型肺炎##中疾控回应何时发现病毒人传人#生物老师在线科普冠状病毒，通俗易懂，你值得了解一下医学知识总览的微博视频,2020-02-09 01:02,01月31日 23:59,5735297133_Is5zxt4y6,,0,,https://weibo.cn/comment/Is4XylMFm?rl=1#cmtfrm,0,柔光自拍vivo X7,5735297133,,https://weibo.com/5735297133/Is5zxt4y6
0,V橙久转发了宠物帮萌星球的微博:由于某媒体篡改院士采访原话，改成“猫狗会感染疫情”，造成居民恐慌，今天凌晨天津和苑·国和园小区已有饲主为了避免被感染，将自家狗摔到楼下惨死警方已介入调查。图6-7是今天上海嘉定区上海汽车城附近摔死的五只猫咪。【后续】目前该媒体已将原帖子中的标题修改，但视频中的字幕依然没改。【后续2】该媒体下午已将错误视频删除，同时关闭了评论！【后续3】20：00左右该媒体已将错误帖子彻底删除[加油][组图共9张],2020-02-09 01:02,01月30日 23:59,3837121462_IrW8Z4hkk,http://wx1.sinaimg.cn/wap180/005AgWM7ly1gbeiou5i2kj30ku0uxwjc.jpg,0,,https://weibo.cn/comment/IrRWUjIUK?rl=1#cmtfrm,0,小米9,3837121462,,https://weibo.com/3837121462/IrW8Z4hkk
0,特浓奶冻珠珠鲜芋仙:#双黄连可抑制新型冠状病毒#别抢双黄连别抢双黄连别抢双黄连别抢双黄连别抢双黄连别抢双黄连别抢双黄连别抢双黄连别抢双黄连别抢双黄连别抢双黄连别抢双黄连是抑制不是预防抑制！！！抑制！！youknow?,2020-02-09 01:02,01月31日 23:59,6369052269_Is5zxrGfW,http://wx4.sinaimg.cn/wap180/006X1Trvly1gbg6s4jtkjj30u01rcn8j.jpg,0,,,0,鲜芋仙的Android,6369052269,,https://weibo.com/6369052269/Is5zxrGfW
